picture_name,text_true,Unnamed: 0,text_pred,levenshtein_ratio,char_precision,char_recall,char_f1
plate_00808.jpg,046TS,250,1046-ITS,0.7692307692307693,0.625,1.0,0.7692307692307693
plate_01433.jpg,912FB,188,G912-FB.,0.7692307692307693,0.625,1.0,0.7692307692307693
plate_01063.jpg,044FF,8,00414.,0.5454545454545454,0.5,0.6666666666666666,0.5714285714285715
plate_01576.jpg,M496T,283,M.496FT.,0.7692307692307693,0.7142857142857143,1.0,0.8333333333333333
plate_00263.jpg,155DW,13,155.5.,0.5454545454545454,0.6666666666666666,0.5,0.5714285714285715
plate_00799.jpg,871MC,20,1871.,0.6,0.75,0.6,0.6666666666666665
plate_01921.jpg,401DW,317,4/40,0.4444444444444444,0.6666666666666666,0.4,0.5
plate_00326.jpg,077KS,117,SPOTS.,0.18181818181818182,0.2,0.25,0.22222222222222224
plate_01864.jpg,237TF,354,02/,0.25,0.3333333333333333,0.2,0.25
plate_01425.jpg,237KS,299,"""237""KSI",0.7692307692307693,0.7142857142857143,1.0,0.8333333333333333
plate_01560.jpg,710WG,348,1770.WG.,0.6153846153846154,0.8333333333333334,1.0,0.9090909090909091
plate_00166.jpg,470KV,149,METWORK,0.16666666666666666,0.14285714285714285,0.2,0.16666666666666666
plate_01720.jpg,545JX,340,M5525W.,0.3333333333333333,0.2,0.25,0.22222222222222224
plate_01665.jpg,048PJ,219,NOASTED,0.0,0.0,0.0,0.0
plate_00218.jpg,344RY,92,1344JULY.,0.5714285714285714,0.375,0.75,0.5
plate_00577.jpg,379LM,301,-379LM.,0.8333333333333334,0.7142857142857143,1.0,0.8333333333333333
plate_01736.jpg,729JM,228,0729.,0.6,0.6,0.6,0.6
plate_00961.jpg,908LM,127,TOOPERATION,0.0,0.0,0.0,0.0
plate_01809.jpg,308LP,131,U308LP.,0.8333333333333334,0.7142857142857143,1.0,0.8333333333333333
plate_00873.jpg,448XT,197,14148.AT.,0.5714285714285714,0.5,0.75,0.6
plate_01761.jpg,220DP,356,3.1220DP.,0.7142857142857143,0.5714285714285714,1.0,0.7272727272727273
plate_00035.jpg,727PP,152,1879LXXIII,0.13333333333333333,0.14285714285714285,0.3333333333333333,0.2
